GEOID,INTPTLAT,INTPTLON,rpe_1d_1y
2302919870,44.8560918,-67.3252665,2216.262791839312
2302931530,44.5281555,-67.7999218,2329.7520638827664
2302943640,44.7503589,-67.4750197,2301.2846597999983
2301783890,44.3192775,-70.5226467,2114.124891822432
2300102060,44.0845366,-70.2496493,2205.4161384755166
2300138565,44.2953505,-70.133074,2142.5539868801775
2300140665,44.4116381,-70.2161865,2128.10342796
2300160020,44.0481059,-70.3935627,2208.18187588
2301548645,44.0522769,-69.5675223,2258.79183771154
2301549660,44.1012484,-69.4826583,2257.766238694293
2301569645,44.2892739,-69.4857471,2163.779571743994
2301570240,43.8821693,-69.5495398,2321.194907928195
2301571955,43.8133391,-69.6628684,2305.9557919685467
2301584140,43.9046083,-69.6992334,2283.024995817319
2300782235,44.785649,-70.535355,1886.6197196162693
2301180880,44.3415504,-70.0679846,2125.1721039901972
2301100590,44.5084258,-69.445189,2107.1324478557426
2301104020,44.5230922,-69.8375746,2073.7354614172455
2301541280,43.9101846,-69.4004395,2331.9999999999995
2300140770,44.4453367,-70.1380761,2121.12872798998
2300943578,44.1135344,-68.5062509,2417.40626916993
2302562995,44.9973333,-69.4044255,2002.0677107473184
2302567238,46.0961726,-69.9924034,1707.5476959904308
2300955890,44.7215064,-68.4900967,2079.742115734724
2300980040,44.6641675,-68.3116401,2172.4885158172683
2302509655,45.0444943,-69.4498977,2020.8725266995862
2300907975,44.3500242,-68.7664772,2234.7483658290375
2300911800,44.6117548,-68.3656641,2184.2740901281713
2300917145,44.2305345,-68.7917971,2283.507579880001
2300930970,44.5245724,-68.2852501,2271.26668324658
2300943430,44.7460095,-68.38631,2108.36497977376
2300953620,44.9358143,-68.434126,2079.4870927320558
2302514555,44.8665823,-69.6744599,2041.723312149486
2302531740,44.8798231,-69.5205004,2032.9968529019704
2302547140,45.7034397,-70.2213746,1709.935047970279
2302553636,45.3868085,-70.2589547,1746.1474891209846
2301585010,44.198014,-69.6196894,2170.126473142599
2301587075,44.0147795,-69.6886474,2239.4927757458786
2301974055,44.8716402,-69.1139263,2012.560863893688
2302707870,44.5375694,-69.1217595,2137.9583597999967
2300751400,45.2887846,-70.6320558,1693.306607943107
2300765655,44.9125934,-70.5389047,1802.4382677137912
2300712595,44.5386608,-70.1094778,2102.6708902651367
2302902970,45.0924148,-67.3051518,2156.89016890721
2302912175,45.0108217,-67.2730042,2166.461899998869
2302913610,45.4636631,-67.6869706,2046.5812838800011
2302737585,44.5178732,-69.2165202,2142.9384398071625
2302739755,44.2954425,-69.0664245,2286.2344998000026
2302766565,44.3682521,-69.1862925,2224.528791774139
2302778255,44.5701476,-69.3624413,2104.253907847616
2301787355,44.4007467,-70.5581104,2069.5324148443415
2302913750,44.6728306,-67.8097141,2282.4557440742324
2302914100,44.9889651,-67.4228789,2184.8938439584035
2302914940,45.0481611,-67.575552,2171.4413359200007
2302915920,44.6488046,-67.2248768,2278.1285360341135
2302156765,45.1074175,-69.4228545,2017.8222349728562
2302916410,45.6364406,-67.8356975,1980.3813838799997
2300737025,44.974822,-70.1910048,1914.8237117505544
2302303355,43.9316919,-69.8444943,2245.202908100895
2302358515,43.7410993,-69.8261406,2294.56808396
2302387460,43.9596558,-69.7693507,2242.2625512736017
2300140035,44.0194953,-70.0789321,2220.453543910161
2300146160,44.1379401,-70.3363339,2182.84895397283
2300177800,44.2651065,-70.2479796,2156.374439919999
2301955680,44.6887779,-68.7628054,2042.5399558800018
2301978015,45.2994218,-68.2597418,2065.4697518841945
2301978780,44.8474416,-68.7141887,2015.1929920399998
2301924110,44.9632249,-69.1250054,2005.998703933754
2301973250,45.3990623,-68.1744243,2047.5736254831595
2301985230,45.2975468,-67.9741799,2083.0641367851254
2301301465,44.2978558,-69.270421,2241.9349597019914
2301326805,43.9530795,-69.3466018,2336.907783967565
2301378115,44.2294265,-69.2871193,2281.9513960900717
2301919868,45.1093017,-68.4305009,2102.3837959599996
2301917950,44.6975708,-69.1437029,2059.3745118800007
2302903670,44.4461687,-67.6028545,2371.2746758843073
2301579550,44.1220835,-69.3833538,2288.390095710719
2302912455,44.631269,-67.9271202,2276.672357892511
2302913820,44.6992437,-67.7136186,2288.149493426325
2301335135,44.0465595,-68.6268884,2362.582579162792
2301347962,44.0420446,-69.0385145,2362.2434800667825
2301351620,44.102333,-68.9534251,2338.0420640273105
2301356135,44.0653275,-69.0749783,2371.666162527263
2301363590,44.1238833,-69.130452,2374.7882439931054
2301363660,44.169677,-69.0932936,2365.8762815841
2302137095,45.1538035,-69.5984499,2024.4728674425521
2302146020,45.2705636,-68.9896422,1994.7753039264567
2302146580,45.2972185,-69.4991491,1975.168899800003
2302165865,45.1242079,-69.2870578,1996.4049480400001
2300710915,44.5994741,-70.4107369,2057.4164739025587
2301365130,43.9088397,-69.2331902,2337.638704047214
2301372585,44.0402343,-69.1337059,2377.178727442775
2301376365,44.107714,-69.1714252,2376.5032959270206
2301379130,44.0216011,-68.7934792,2328.9078679599997
2302181405,45.0770226,-69.5864458,2041.0325479479377
2301532715,44.3257398,-69.4270148,2169.4195677434477
2301546335,43.758927,-69.3189459,2322.57124004
2301168385,44.4382487,-69.7556992,2081.0775373100323
2301701325,44.5912335,-70.7724243,1853.6351717559696
2301746105,44.4585054,-70.6006962,2017.2794106711112
2301754000,44.2258668,-70.6100214,2131.305730169901
2302900380,44.5231003,-67.707431,2341.3362439224793
2302909585,45.1429518,-67.2175289,2139.9002374882734
2302917355,44.9238739,-67.245967,2172.308196495477
2302936010,44.5607592,-67.4822337,2377.9177348344674
